Country,Total Cases,New Cases,Total Deaths,New Deaths,Total Recovered,Continent,Reliability*
Australia,56559,1466,1019,7,33571,Australia/Oceania,0
Fiji,47006,,504,,29067,Australia/Oceania,1
French Polynesia,40178,,446,,33500,Australia/Oceania,1
Marshall Islands,4,,,,4,Australia/Oceania,0
Micronesia,1,,,,1,Australia/Oceania,0
New Caledonia,136,,,,58,Australia/Oceania,0
New Zealand,3697,52,26,,2901,Australia/Oceania,0
Palau,2,,,,,Australia/Oceania,0
Papua New Guinea,17926,,192,,17547,Australia/Oceania,1
Samoa,3,,,,3,Australia/Oceania,0
Solomon Islands,20,,,,20,Australia/Oceania,0
Vanuatu,4,,1,,3,Australia/Oceania,0
Wallis and Futuna,445,,7,,438,Australia/Oceania,0
