Country,Total Cases,New Cases,Total Deaths,New Deaths,Total Recovered,Continent,Reliability*
Australia,4.469733675913058,1.0413926851582251,2.9590413923210934,,4.421982124765257,Australia/Oceania,0
Fiji,1.8325089127062364,,0.3010299956639812,,1.806179973983887,Australia/Oceania,1
French Polynesia,4.271562825432305,,2.1492191126553797,,3.685024785105714,Australia/Oceania,1
Marshall Islands,0.6020599913279624,,,,0.6020599913279624,Australia/Oceania,0
Micronesia,0.0,,,,0.0,Australia/Oceania,0
New Caledonia,2.0827853703164503,,,,1.7634279935629373,Australia/Oceania,0
New Zealand,3.413467412985825,,1.414973347970818,,3.3916407034923877,Australia/Oceania,1
Papua New Guinea,3.97048634884765,,1.9138138523837167,,2.9273703630390235,Australia/Oceania,0
Samoa,0.47712125471966244,,,,0.3010299956639812,Australia/Oceania,0
Solomon Islands,1.3010299956639813,,,,1.255272505103306,Australia/Oceania,0
Vanuatu,0.47712125471966244,,,,0.0,Australia/Oceania,0
Wallis and Futuna,2.6414741105040997,,0.6989700043360189,,1.6434526764861874,Australia/Oceania,0
